Invoice ID;Date;City;Gender;Customer type;Product line;Payment;Unit price;Quantity;Total;Gross margin percentage;Gross income;Rating
224-33-543;2026-12-15;Mandalay;Female;Member;Food and beverages;Ewallet;128;10;1344,0;0,0479;64,38;6,3
157-28-477;2026-10-16;Yangon;Female;Member;Food and beverages;Cash;125;10;1312,5;0,0479;62,87;6,7
155-43-434;2026-01-17;Yangon;Female;Normal;Health and beauty;Ewallet;180;2;378,0;0,0479;18,11;9,4
659-66-257;2026-03-17;Mandalay;Male;Normal;Food and beverages;Ewallet;190;1;199,5;0,0479;9,56;3,7
378-76-111;2026-12-25;Naypyitaw;Male;Member;Food and beverages;Credit card;135;8;1134,0;0,0479;54,32;6,1
199-18-298;2026-05-31;Yangon;Female;Normal;Food and beverages;Credit card;21;10;220,5;0,0479;10,56;5,0
906-75-720;2026-08-08;Yangon;Female;Normal;Fashion accessories;Ewallet;88;1;92,4;0,0479;4,43;1,1
378-60-757;2026-08-08;Naypyitaw;Female;Normal;Food and beverages;Credit card;85;5;446,25;0,0479;21,38;8,3
719-35-700;2026-06-09;Yangon;Male;Member;Food and beverages;Cash;10;8;84,0;0,0479;4,02;4,1
618-11-307;2026-06-06;Mandalay;Male;Member;Food and beverages;Credit card;166;4;697,2;0,0479;33,4;5,5
345-28-897;2026-06-09;Yangon;Male;Member;Electronic accessories;Cash;764;9;7219,8;0,0479;345,83;5,4
931-93-335;2026-04-02;Yangon;Female;Normal;Food and beverages;Credit card;177;4;743,4;0,0479;35,61;8,1
881-10-518;2026-10-17;Yangon;Male;Member;Home and lifestyle;Credit card;118;10;1239,0;0,0479;59,35;6,3
555-30-617;2026-08-24;Yangon;Male;Member;Food and beverages;Credit card;141;2;296,1;0,0479;14,18;4,9
920-36-802;2026-09-11;Mandalay;Female;Member;Fashion accessories;Ewallet;57;4;239,4;0,0479;11,47;6,6
390-71-832;2026-10-05;Yangon;Female;Member;Sports and travel;Credit card;104;9;982,8;0,0479;47,08;6,3
651-29-928;2026-09-22;Yangon;Male;Member;Food and beverages;Credit card;11;10;115,5;0,0479;5,53;3,9
724-37-923;2026-09-04;Yangon;Male;Normal;Food and beverages;Ewallet;117;6;737,1;0,0479;35,31;4,9
502-27-806;2026-06-26;Naypyitaw;Female;Member;Health and beauty;Ewallet;57;4;239,4;0,0479;11,47;7,5
478-75-574;2026-05-04;Yangon;Female;Member;Food and beverages;Ewallet;123;2;258,3;0,0479;12,37;9,4
575-40-610;2026-08-13;Mandalay;Female;Normal;Food and beverages;Credit card;182;5;955,5;0,0479;45,77;6,4
755-15-384;2026-03-27;Naypyitaw;Female;Normal;Fashion accessories;Credit card;79;4;331,8;0,0479;15,89;3,5
984-34-220;2026-12-16;Yangon;Female;Member;Food and beverages;Cash;71;10;745,5;0,0479;35,71;4,1
884-52-662;2026-12-27;Yangon;Male;Normal;Sports and travel;Credit card;74;10;777,0;0,0479;37,22;7,1
179-21-110;2026-04-22;Naypyitaw;Male;Normal;Health and beauty;Ewallet;216;6;1360,8;0,0479;65,18;8,0
851-64-734;2026-09-24;Naypyitaw;Male;Member;Food and beverages;Credit card;123;8;1033,2;0,0479;49,49;2,0
828-75-895;2026-09-18;Naypyitaw;Male;Normal;Health and beauty;Ewallet;103;10;1081,5;0,0479;51,8;3,3
641-64-940;2026-09-28;Mandalay;Female;Normal;Health and beauty;Ewallet;217;7;1594,95;0,0479;76,4;4,4
349-39-556;2026-08-14;Mandalay;Male;Member;Food and beverages;Credit card;177;3;557,55;0,0479;26,71;8,9
365-89-227;2026-04-30;Mandalay;Female;Member;Home and lifestyle;Cash;500;1;525,0;0,0479;25,15;3,1
580-17-753;2026-01-22;Mandalay;Female;Member;Food and beverages;Cash;3;9;28,35;0,0479;1,36;9,9
421-88-230;2026-03-09;Yangon;Male;Normal;Sports and travel;Ewallet;57;2;119,7;0,0479;5,73;1,3
896-50-124;2026-12-09;Mandalay;Female;Member;Food and beverages;Ewallet;190;10;1995,0;0,0479;95,56;6,1
895-13-643;2026-08-04;Mandalay;Male;Normal;Food and beverages;Ewallet;48;1;50,4;0,0479;2,41;8,5
237-23-312;2026-12-21;Mandalay;Female;Normal;Fashion accessories;Ewallet;176;5;924,0;0,0479;44,26;7,1
705-34-104;2026-05-30;Yangon;Female;Normal;Health and beauty;Credit card;99;8;831,6;0,0479;39,83;6,4
108-12-924;2026-08-07;Yangon;Male;Normal;Food and beverages;Credit card;86;5;451,5;0,0479;21,63;4,0
543-29-558;2026-01-24;Yangon;Male;Member;Food and beverages;Ewallet;133;5;698,25;0,0479;33,45;7,3
718-19-990;2026-12-12;Yangon;Male;Normal;Food and beverages;Cash;164;5;861,0;0,0479;41,24;1,6
766-74-198;2026-08-26;Mandalay;Female;Normal;Home and lifestyle;Ewallet;322;4;1352,4;0,0479;64,78;5,4
584-42-722;2026-09-28;Mandalay;Female;Normal;Food and beverages;Cash;123;6;774,9;0,0479;37,12;2,6
751-44-990;2026-11-10;Yangon;Female;Member;Food and beverages;Cash;50;7;367,5;0,0479;17,6;7,0
396-85-412;2026-02-01;Mandalay;Male;Normal;Fashion accessories;Ewallet;64;2;134,4;0,0479;6,44;3,3
877-29-719;2026-11-01;Naypyitaw;Female;Member;Food and beverages;Credit card;129;4;541,8;0,0479;25,95;3,9
263-41-470;2026-02-27;Yangon;Male;Member;Food and beverages;Credit card;101;2;212,1;0,0479;10,16;3,4
773-52-299;2026-01-05;Mandalay;Female;Member;Food and beverages;Ewallet;37;8;310,8;0,0479;14,89;9,2
496-28-289;2026-02-28;Naypyitaw;Female;Member;Home and lifestyle;Cash;108;10;1134,0;0,0479;54,32;6,4
180-13-859;2026-05-06;Mandalay;Male;Normal;Sports and travel;Credit card;270;5;1417,5;0,0479;67,9;7,5
803-66-377;2026-01-06;Mandalay;Male;Normal;Home and lifestyle;Cash;75;10;787,5;0,0479;37,72;10,0
753-15-350;2026-10-07;Yangon;Male;Normal;Food and beverages;Credit card;47;5;246,75;0,0479;11,82;5,9
192-58-241;2026-03-01;Mandalay;Male;Member;Food and beverages;Credit card;179;10;1879,5;0,0479;90,03;4,5
101-34-750;2026-01-10;Yangon;Female;Normal;Food and beverages;Cash;108;3;340,2;0,0479;16,3;3,7
546-97-135;2026-03-19;Mandalay;Male;Member;Health and beauty;Credit card;162;9;1530,9;0,0479;73,33;6,8
926-88-888;2026-02-09;Mandalay;Male;Member;Food and beverages;Cash;86;7;632,1;0,0479;30,28;2,3
769-54-750;2026-06-01;Yangon;Female;Normal;Food and beverages;Credit card;50;9;472,5;0,0479;22,63;9,1
809-36-445;2026-01-06;Yangon;Male;Member;Food and beverages;Ewallet;20;9;189,0;0,0479;9,05;1,8
100-40-303;2026-03-25;Yangon;Male;Member;Health and beauty;Cash;116;3;365,4;0,0479;17,5;2,3
102-58-327;2026-03-26;Mandalay;Male;Normal;Electronic accessories;Credit card;1136;4;4771,2;0,0479;228,54;3,0
926-95-317;2026-10-19;Yangon;Male;Normal;Food and beverages;Ewallet;19;2;39,9;0,0479;1,91;7,5
813-85-599;2026-01-21;Mandalay;Female;Member;Food and beverages;Credit card;124;8;1041,6;0,0479;49,89;2,5
377-52-849;2026-12-25;Yangon;Male;Member;Food and beverages;Credit card;165;2;346,5;0,0479;16,6;5,3
910-52-875;2026-09-15;Mandalay;Male;Normal;Fashion accessories;Ewallet;69;3;217,35;0,0479;10,41;5,7
139-45-471;2026-12-31;Yangon;Male;Member;Home and lifestyle;Credit card;26;3;81,9;0,0479;3,92;3,0
585-65-817;2026-07-04;Naypyitaw;Female;Member;Sports and travel;Credit card;248;4;1041,6;0,0479;49,89;9,6
909-67-704;2026-09-10;Naypyitaw;Female;Member;Food and beverages;Credit card;155;3;488,25;0,0479;23,39;6,0
782-61-616;2026-02-08;Yangon;Male;Member;Food and beverages;Credit card;35;8;294,0;0,0479;14,08;9,5
195-25-864;2026-03-20;Naypyitaw;Female;Member;Food and beverages;Ewallet;156;8;1310,4;0,0479;62,77;2,9
411-77-116;2026-09-04;Yangon;Male;Normal;Food and beverages;Credit card;144;1;151,2;0,0479;7,24;2,8
884-77-552;2026-07-08;Mandalay;Male;Member;Food and beverages;Credit card;119;6;749,7;0,0479;35,91;8,9
192-71-173;2026-11-26;Yangon;Female;Member;Food and beverages;Ewallet;35;5;183,75;0,0479;8,8;1,3
229-24-991;2026-11-21;Yangon;Female;Normal;Fashion accessories;Ewallet;269;4;1129,8;0,0479;54,12;8,6
133-45-557;2026-09-07;Yangon;Female;Normal;Food and beverages;Cash;168;2;352,8;0,0479;16,9;9,8
950-62-937;2026-03-25;Yangon;Female;Member;Health and beauty;Credit card;163;1;171,15;0,0479;8,2;8,1
225-77-476;2026-12-07;Yangon;Male;Normal;Home and lifestyle;Ewallet;221;2;464,1;0,0479;22,23;8,9
346-17-842;2026-02-02;Yangon;Female;Member;Food and beverages;Credit card;147;8;1234,8;0,0479;59,15;8,7
949-85-120;2026-02-07;Yangon;Female;Member;Electronic accessories;Credit card;686;4;2881,2;0,0479;138,01;9,9
615-35-154;2026-10-06;Naypyitaw;Female;Normal;Food and beverages;Credit card;190;8;1596,0;0,0479;76,45;6,8
892-11-608;2026-03-10;Yangon;Female;Normal;Food and beverages;Credit card;47;9;444,15;0,0479;21,27;7,5
470-44-519;2026-06-11;Mandalay;Male;Member;Food and beverages;Credit card;127;5;666,75;0,0479;31,94;8,4
704-55-398;2026-11-26;Yangon;Male;Normal;Food and beverages;Ewallet;166;7;1220,1;0,0479;58,44;3,1
656-30-227;2026-11-21;Yangon;Male;Member;Food and beverages;Credit card;122;3;384,3;0,0479;18,41;7,9
368-47-234;2026-03-26;Yangon;Male;Normal;Electronic accessories;Ewallet;598;2;1255,8;0,0479;60,15;7,1
911-83-183;2026-10-19;Yangon;Female;Member;Home and lifestyle;Credit card;412;4;1730,4;0,0479;82,89;7,4
743-74-144;2026-12-09;Mandalay;Female;Member;Health and beauty;Cash;97;10;1018,5;0,0479;48,79;6,6
326-70-670;2026-07-06;Yangon;Female;Normal;Food and beverages;Credit card;51;6;321,3;0,0479;15,39;7,8
608-77-886;2026-07-15;Mandalay;Male;Normal;Fashion accessories;Credit card;21;6;132,3;0,0479;6,34;3,3
936-97-760;2026-06-03;Mandalay;Male;Member;Food and beverages;Credit card;34;8;285,6;0,0479;13,68;3,0
205-46-653;2026-08-08;Yangon;Male;Member;Food and beverages;Ewallet;78;9;737,1;0,0479;35,31;1,4
543-62-626;2026-09-13;Yangon;Female;Normal;Food and beverages;Cash;110;1;115,5;0,0479;5,53;7,7
909-26-720;2026-11-25;Mandalay;Female;Normal;Food and beverages;Credit card;125;9;1181,25;0,0479;56,58;3,4
511-86-976;2026-12-15;Yangon;Male;Normal;Health and beauty;Ewallet;83;3;261,45;0,0479;12,52;6,2
373-88-205;2026-07-19;Mandalay;Male;Normal;Food and beverages;Ewallet;149;8;1251,6;0,0479;59,95;1,7
451-32-754;2026-12-12;Yangon;Female;Normal;Food and beverages;Ewallet;21;3;66,15;0,0479;3,17;3,2
355-32-993;2026-11-06;Mandalay;Female;Normal;Home and lifestyle;Ewallet;92;7;676,2;0,0479;32,39;6,2
960-76-496;2026-11-24;Yangon;Male;Normal;Home and lifestyle;Ewallet;318;8;2671,2;0,0479;127,95;7,9
529-33-209;2026-11-17;Mandalay;Male;Normal;Food and beverages;Ewallet;1;9;9,45;0,0479;0,45;4,0
787-95-652;2026-05-01;Mandalay;Male;Member;Health and beauty;Ewallet;159;3;500,85;0,0479;23,99;5,6
846-89-927;2026-09-22;Naypyitaw;Female;Member;Food and beverages;Credit card;103;6;648,9;0,0479;31,08;9,7
660-17-459;2026-10-12;Mandalay;Female;Normal;Health and beauty;Ewallet;141;6;888,3;0,0479;42,55;4,7
249-97-405;2026-07-22;Yangon;Male;Member;Fashion accessories;Credit card;207;1;217,35;0,0479;10,41;5,0
342-92-574;2026-07-05;Yangon;Male;Member;Food and beverages;Credit card;181;8;1520,4;0,0479;72,83;8,2
344-72-118;2026-08-30;Yangon;Female;Member;Health and beauty;Credit card;191;4;802,2;0,0479;38,43;8,8
752-37-737;2026-12-12;Mandalay;Male;Normal;Food and beverages;Cash;157;3;494,55;0,0479;23,69;7,4
356-88-142;2026-01-30;Yangon;Male;Normal;Food and beverages;Ewallet;73;1;76,65;0,0479;3,67;1,9
342-63-808;2026-05-08;Naypyitaw;Male;Normal;Food and beverages;Ewallet;158;7;1161,3;0,0479;55,63;3,6
732-52-800;2026-07-17;Yangon;Female;Member;Food and beverages;Ewallet;125;10;1312,5;0,0479;62,87;1,5
510-25-281;2026-02-16;Yangon;Female;Normal;Food and beverages;Cash;189;8;1587,6;0,0479;76,05;1,7
788-77-937;2026-04-05;Mandalay;Female;Normal;Food and beverages;Cash;172;2;361,2;0,0479;17,3;3,7
626-28-750;2026-07-25;Yangon;Female;Normal;Fashion accessories;Ewallet;272;8;2284,8;0,0479;109,44;1,8
535-87-183;2026-12-03;Yangon;Male;Normal;Fashion accessories;Credit card;232;4;974,4;0,0479;46,67;5,1
965-75-828;2026-02-21;Yangon;Female;Member;Sports and travel;Cash;299;8;2511,6;0,0479;120,31;7,5
339-30-836;2026-11-13;Yangon;Female;Member;Food and beverages;Credit card;181;2;380,1;0,0479;18,21;8,9
530-97-132;2026-11-29;Yangon;Female;Member;Food and beverages;Credit card;122;9;1152,9;0,0479;55,22;9,8
793-43-196;2026-09-09;Naypyitaw;Male;Member;Food and beverages;Cash;9;10;94,5;0,0479;4,53;3,3
938-38-258;2026-08-14;Yangon;Male;Normal;Food and beverages;Credit card;109;9;1030,05;0,0479;49,34;9,0
101-49-904;2026-09-24;Mandalay;Female;Member;Food and beverages;Ewallet;94;7;690,9;0,0479;33,09;3,6
716-47-840;2026-01-24;Naypyitaw;Female;Normal;Food and beverages;Ewallet;190;5;997,5;0,0479;47,78;6,5
346-67-763;2026-09-07;Mandalay;Male;Member;Food and beverages;Ewallet;109;6;686,7;0,0479;32,89;7,0
904-18-137;2026-01-19;Yangon;Male;Normal;Sports and travel;Ewallet;23;3;72,45;0,0479;3,47;5,1
320-28-720;2026-10-02;Mandalay;Male;Normal;Home and lifestyle;Ewallet;487;9;4602,15;0,0479;220,44;4,5
952-34-755;2026-10-21;Mandalay;Male;Member;Food and beverages;Ewallet;13;1;13,65;0,0479;0,65;2,4
271-29-928;2026-03-02;Yangon;Female;Normal;Home and lifestyle;Credit card;473;4;1986,6;0,0479;95,16;6,0
148-22-401;2026-06-06;Yangon;Male;Member;Fashion accessories;Cash;152;6;957,6;0,0479;45,87;4,5
300-40-181;2026-02-18;Yangon;Female;Member;Food and beverages;Ewallet;182;10;1911,0;0,0479;91,54;5,0
667-37-642;2026-06-22;Yangon;Male;Member;Electronic accessories;Credit card;119;2;249,9;0,0479;11,97;9,9
874-65-374;2026-10-16;Mandalay;Female;Normal;Fashion accessories;Credit card;126;3;396,9;0,0479;19,01;9,7
762-61-972;2026-01-07;Mandalay;Male;Member;Fashion accessories;Credit card;261;1;274,05;0,0479;13,13;8,7
608-67-892;2026-07-08;Yangon;Male;Normal;Food and beverages;Ewallet;156;1;163,8;0,0479;7,85;3,1
434-87-465;2026-08-19;Yangon;Female;Member;Food and beverages;Ewallet;60;2;126,0;0,0479;6,04;8,3
634-96-232;2026-04-20;Yangon;Female;Normal;Food and beverages;Ewallet;87;6;548,1;0,0479;26,25;6,4
847-19-635;2026-11-18;Mandalay;Female;Normal;Food and beverages;Cash;49;3;154,35;0,0479;7,39;7,8
354-85-210;2026-08-07;Yangon;Male;Member;Electronic accessories;Credit card;70;1;73,5;0,0479;3,52;1,3
557-62-435;2026-04-27;Naypyitaw;Female;Member;Electronic accessories;Credit card;1231;3;3877,65;0,0479;185,74;6,8
754-47-219;2026-02-11;Yangon;Male;Normal;Health and beauty;Credit card;209;8;1755,6;0,0479;84,09;2,1
181-29-986;2026-04-17;Yangon;Male;Member;Home and lifestyle;Ewallet;21;9;198,45;0,0479;9,51;5,3
506-44-559;2026-08-31;Mandalay;Male;Member;Fashion accessories;Credit card;148;2;310,8;0,0479;14,89;7,8
456-65-542;2026-02-19;Mandalay;Female;Normal;Food and beverages;Credit card;151;4;634,2;0,0479;30,38;1,4
386-78-391;2026-01-28;Yangon;Female;Normal;Fashion accessories;Cash;159;8;1335,6;0,0479;63,98;6,4
838-24-196;2026-09-27;Yangon;Female;Member;Health and beauty;Ewallet;173;9;1634,85;0,0479;78,31;9,5
752-15-675;2026-04-29;Yangon;Female;Member;Fashion accessories;Credit card;330;9;3118,5;0,0479;149,38;4,0
865-32-674;2026-02-13;Naypyitaw;Male;Normal;Home and lifestyle;Ewallet;330;10;3465,0;0,0479;165,97;6,5
282-35-130;2026-06-25;Mandalay;Female;Normal;Food and beverages;Ewallet;45;1;47,25;0,0479;2,26;7,0
704-22-670;2026-11-05;Naypyitaw;Female;Normal;Food and beverages;Cash;96;8;806,4;0,0479;38,63;6,4
580-39-780;2026-10-18;Yangon;Male;Normal;Food and beverages;Credit card;79;5;414,75;0,0479;19,87;8,9
384-41-522;2026-04-05;Naypyitaw;Female;Member;Food and beverages;Credit card;10;4;42,0;0,0479;2,01;4,8
343-75-746;2026-08-14;Mandalay;Female;Member;Food and beverages;Credit card;85;7;624,75;0,0479;29,93;2,6
912-32-834;2026-01-20;Yangon;Male;Normal;Home and lifestyle;Credit card;201;3;633,15;0,0479;30,33;8,1
810-53-824;2026-10-09;Mandalay;Female;Member;Food and beverages;Credit card;139;8;1167,6;0,0479;55,93;3,3
657-15-244;2026-10-24;Mandalay;Female;Member;Fashion accessories;Ewallet;59;8;495,6;0,0479;23,74;1,4
853-45-274;2026-10-21;Yangon;Male;Member;Home and lifestyle;Credit card;107;5;561,75;0,0479;26,91;3,5
710-68-208;2026-07-05;Yangon;Male;Normal;Electronic accessories;Credit card;713;4;2994,6;0,0479;143,44;1,2
766-87-900;2026-09-08;Mandalay;Female;Normal;Health and beauty;Credit card;99;8;831,6;0,0479;39,83;9,8
379-34-918;2026-03-23;Mandalay;Male;Member;Food and beverages;Credit card;156;8;1310,4;0,0479;62,77;8,5
956-10-810;2026-08-17;Yangon;Female;Normal;Electronic accessories;Cash;430;5;2257,5;0,0479;108,13;6,5
312-99-123;2026-10-02;Yangon;Female;Member;Food and beverages;Ewallet;176;3;554,4;0,0479;26,56;3,5
730-51-755;2026-08-13;Naypyitaw;Male;Member;Home and lifestyle;Ewallet;434;2;911,4;0,0479;43,66;6,3
873-44-590;2026-09-27;Mandalay;Male;Member;Sports and travel;Ewallet;191;8;1604,4;0,0479;76,85;4,2
786-10-187;2026-11-30;Yangon;Female;Normal;Sports and travel;Ewallet;146;4;613,2;0,0479;29,37;9,2
273-37-838;2026-03-16;Yangon;Female;Normal;Fashion accessories;Ewallet;326;9;3080,7;0,0479;147,57;2,5
227-37-782;2026-10-06;Yangon;Female;Member;Home and lifestyle;Credit card;195;10;2047,5;0,0479;98,08;4,4
382-48-882;2026-10-11;Mandalay;Female;Member;Food and beverages;Cash;68;9;642,6;0,0479;30,78;8,5
104-35-670;2026-04-06;Mandalay;Male;Member;Sports and travel;Ewallet;214;3;674,1;0,0479;32,29;5,8
372-80-665;2026-04-18;Yangon;Male;Normal;Food and beverages;Credit card;113;7;830,55;0,0479;39,78;9,4
994-94-772;2026-08-31;Yangon;Male;Normal;Food and beverages;Credit card;151;3;475,65;0,0479;22,78;6,0
958-54-171;2026-07-04;Yangon;Male;Member;Food and beverages;Ewallet;88;4;369,6;0,0479;17,7;5,4
704-50-889;2026-03-03;Mandalay;Male;Normal;Food and beverages;Ewallet;24;10;252,0;0,0479;12,07;2,4
348-19-670;2026-03-28;Mandalay;Female;Member;Food and beverages;Ewallet;39;8;327,6;0,0479;15,69;9,9
640-28-132;2026-12-20;Mandalay;Female;Normal;Fashion accessories;Credit card;103;7;757,05;0,0479;36,26;5,7
400-70-228;2026-04-19;Yangon;Male;Normal;Health and beauty;Ewallet;131;1;137,55;0,0479;6,59;5,6
797-38-480;2026-09-06;Yangon;Male;Member;Fashion accessories;Ewallet;29;5;152,25;0,0479;7,29;8,7
650-13-381;2026-01-16;Yangon;Female;Normal;Food and beverages;Credit card;69;4;289,8;0,0479;13,88;9,9
691-95-680;2026-06-10;Mandalay;Female;Normal;Food and beverages;Cash;96;9;907,2;0,0479;43,45;4,7
464-83-753;2026-01-26;Mandalay;Female;Normal;Home and lifestyle;Cash;179;2;375,9;0,0479;18,01;5,2
147-23-883;2026-01-27;Mandalay;Female;Normal;Food and beverages;Ewallet;86;2;180,6;0,0479;8,65;7,9
458-81-183;2026-04-28;Yangon;Male;Member;Food and beverages;Credit card;135;5;708,75;0,0479;33,95;6,6
586-48-459;2026-12-17;Yangon;Female;Member;Fashion accessories;Credit card;322;3;1014,3;0,0479;48,58;2,2
380-59-602;2026-09-23;Naypyitaw;Female;Normal;Electronic accessories;Credit card;1210;4;5082,0;0,0479;243,43;4,6
372-72-966;2026-05-05;Yangon;Female;Normal;Food and beverages;Credit card;178;7;1308,3;0,0479;62,67;2,4
268-12-244;2026-06-16;Yangon;Male;Member;Food and beverages;Ewallet;83;4;348,6;0,0479;16,7;3,1
977-53-180;2026-09-08;Yangon;Male;Normal;Food and beverages;Ewallet;42;7;308,7;0,0479;14,79;7,1
535-40-401;2026-10-31;Yangon;Male;Member;Food and beverages;Ewallet;175;2;367,5;0,0479;17,6;7,8
743-85-866;2026-10-21;Naypyitaw;Female;Normal;Food and beverages;Credit card;29;7;213,15;0,0479;10,21;3,1
447-47-517;2026-07-04;Naypyitaw;Male;Normal;Fashion accessories;Ewallet;254;4;1066,8;0,0479;51,1;7,6
300-70-791;2026-02-26;Yangon;Female;Normal;Food and beverages;Credit card;168;1;176,4;0,0479;8,45;9,5
199-70-391;2026-03-13;Naypyitaw;Female;Normal;Fashion accessories;Ewallet;254;8;2133,6;0,0479;102,2;5,2
380-89-110;2026-04-25;Naypyitaw;Female;Normal;Home and lifestyle;Cash;21;4;88,2;0,0479;4,22;9,8
875-14-189;2026-10-27;Mandalay;Male;Normal;Food and beverages;Credit card;149;8;1251,6;0,0479;59,95;5,8
622-52-544;2026-04-13;Mandalay;Female;Normal;Electronic accessories;Ewallet;1121;6;7062,3;0,0479;338,28;3,1
822-43-309;2026-10-13;Yangon;Female;Member;Food and beverages;Credit card;176;1;184,8;0,0479;8,85;9,6
671-25-738;2026-12-22;Mandalay;Female;Normal;Food and beverages;Credit card;146;10;1533,0;0,0479;73,43;2,8
